,User,Date Created,Number of Likes,Source of Tweet,Tweet,Follower Count,Date,Created
299,middaygujarati,2023-01-05 15:30:00+00:00,0,TweetDeck,"રિલાયન્સે ગુજરાતની ૧૦૦ વર્ષ જૂની બેવરેજિસ કંપની સોસ્યોને હસ્તગત કરી

#Gujaratimidday #middaynews #business #BusinessMan #BusinessNews #beverages #Reliance

https://t.co/VMImj0mhr1",3485,1/5/2023,15:30:00+00:00
300,Kiran_Khedekar,2023-01-05 15:15:33+00:00,0,Twitter for iPhone,"Poll Time- 

#Sensex #Nifty #SGXNifty #Nasdaq #DowJones #DJIA #stockmarketcrash #BankNifty #Reliance #Titan #Infosys #ITC #TCS #HDFC #ICICI #TVS #psubanks #PSE #IOB #hdfcbank #AxisBank #StocksToTrade #StockMarket #StocksToBuy #GPPL #NiftyBank #NIFTYPSE #NIFTYMETAL",415,1/5/2023,15:15:33+00:00
301,MarketN82084743,2023-01-05 15:14:25+00:00,0,Twitter Web App,"Market Analy.
Date #5Jan2023
Top Traded Stock Under #NSE500 #tradingsetup #ArtificialIntelligence #investing  #BAJFINANCE #ICICIBANK #INFY #BAJAJFINSV #TATASTEEL #RELIANCE #HDFCBANK #AXISBANK #BHARTIARTL #SBIN #ITC #TATAMOTORS #YESBANK #HDFC #TCS

#StocksMarket #StockMarketindia https://t.co/riyf1hPhZF",24,1/5/2023,15:14:25+00:00
302,The_Informerr,2023-01-05 15:11:59+00:00,1,Twitter for Android,"मुम्बई में #RelianceIndustries के चेयरमैन मुकेश अंबानी से मिले यूपी के सीएम योगी आदित्यनाथ, उत्तर प्रदेश के औद्योगिक विकास और निवेश को लेकर हुई चर्चा
#UttarPradesh #YogiAdityanath #MukeshAmbani",602,1/5/2023,15:11:59+00:00
303,AbhisheKatyayan,2023-01-05 15:11:14+00:00,4,Twitter for Android,"मुम्बई में #RelianceIndustries के चेयरमैन मुकेश अंबानी से मिले यूपी के सीएम योगी आदित्यनाथ, उत्तर प्रदेश के औद्योगिक विकास और निवेश को लेकर हुई चर्चा
#UttarPradesh #YogiAdityanath #MukeshAmbani",7052,1/5/2023,15:11:14+00:00
304,VistaraNews,2023-01-05 15:02:22+00:00,0,Twitter Web App,"Jio True 5G | ಒಡಿಶಾದ ಭುವನೇಶ್ವರ, ಕಟಕ್‌ನಲ್ಲಿ ಈಗ ಜಿಯೋ 5ಜಿ ಸೇವೆ ಲಭ್ಯ

#JioTrue5G #Reliance #Odisha #Jio #ವಿಸ್ತಾರನ್ಯೂಸ್ #vistaranewskannada #vistaranews

https://t.co/ZwML5jk74j",927,1/5/2023,15:02:22+00:00
305,Money9Gujarati,2023-01-05 14:58:27+00:00,1,Twitter Web App,"અંબાણી પરિવાર-હજૂરી પરિવાર બન્યા ભાગીદાર

રિલાયન્સે SOSYOમાં લીધો 50% હિસ્સો 

#reliance #sosyo #ishaambani #mukeshambani #ambani #relianceretail #beverage #softdrinks  #gujaratinews #money9gujarati #finance #business #gujaratbuses 

https://t.co/zW0khqNm0W",32,1/5/2023,14:58:27+00:00
306,Shwetaa_Negi,2023-01-05 14:50:21+00:00,44,Twitter for Android,"CM योगी ने की मुकेश अंबानी से की मुलाकात, कहा- UP में निवेश कीजिए...सुरक्षा की गारंटी लेगी सरकार 

#YogiAdityanath #MukeshAmbani #Reliance #UttarPradesh https://t.co/r5KZ80AZks",5250,1/5/2023,14:50:21+00:00
307,jschanan,2023-01-05 14:47:46+00:00,0,Twitter Web App,#Reliance #Jio,2623,1/5/2023,14:47:46+00:00
308,unknownn_raja,2023-01-05 14:45:13+00:00,1,Twitter Web App,"#UttarPradesh
CM Yogi Baba met #Reliance Industries Chairman &amp; Managing Director #MukeshAmbani at Hotel Taj in Mumbai. https://t.co/vKemvGNYh7",117,1/5/2023,14:45:13+00:00
309,kamisama_kotoba,2023-01-05 14:33:28+00:00,0,twittbot.net,"I part with the belief ""I never believe"".

「信じない」という信念を手放す。
#reliance #OnLine #TheCreation #ecstasy 
https://t.co/DvwMQM0wCY",5746,1/5/2023,14:33:28+00:00
310,shalaa_finance,2023-01-05 14:14:20+00:00,3,Twitter for Android,"🚨CM Yogi Adityanath met Reliance Industries Chairman &amp; Managing Director Mukesh Ambani at Hotel Taj in Mumbai.

#YogiAdityanath 
#MukeshAmbani 
#UpGlobalSummit2022 
#Reliance https://t.co/EnzHXjKhlu",4,1/5/2023,14:14:20+00:00
311,thearvart,2023-01-05 14:10:35+00:00,1,Twitter for Android,"Worst product ek dum ghatiya bakwas kachra jio book ( laptop ) Delhi k chor bazar se 1000 mai lekar ₹ 15000 mai sell kar raha hai jio shayad #jiobook
#Jiodown #JioTrue5G #jio5g #Reliance #RelianceJio",4703,1/5/2023,14:10:35+00:00
312,oneindiaHindi,2023-01-05 14:06:17+00:00,16,Twitter Web App,"रिलायंस ने खरीदी एक और बेवरेज कंपनी
#Reliance https://t.co/0lv5sIEm5g",69345,1/5/2023,14:06:17+00:00
313,the_news_21,2023-01-05 14:01:03+00:00,2,Twitter for Android,#UttarPradesh CM #YogiAdityanath met #Reliance Industries Chairman &amp; Managing Director #MukeshAmbani at Hotel Taj in #Mumbai. https://t.co/d0Vm7tbbvh,1430,1/5/2023,14:01:03+00:00
314,DelhiMirrorNews,2023-01-05 14:00:57+00:00,0,Twitter for Android,मुंबई : रिलायंस इंडस्ट्रीज के चेयरमैन मुकेश अंबानी ने आज सीएम योगी आदित्यनाथ से मुलाकात की.सीएम योगी ने उन्हें यूपी ग्लोबल इन्वेस्टर्स समिट 2023 में आने का न्योता दिया !! #News #DelhiMirror @myogiadityanath #Meeting #RelianceIndustries #MukeshAmbani #Mumbai #Maharashtra https://t.co/eD5WDq2hV3,65,1/5/2023,14:00:57+00:00
315,upmirrornews,2023-01-05 14:00:25+00:00,0,Twitter for Android,मुंबई : रिलायंस इंडस्ट्रीज के चेयरमैन मुकेश अंबानी ने आज सीएम योगी आदित्यनाथ से मुलाकात की.सीएम योगी ने उन्हें यूपी ग्लोबल इन्वेस्टर्स समिट 2023 में आने का न्योता दिया !! #News #UPMirror @myogiadityanath #Meeting #RelianceIndustries #MukeshAmbani #Mumbai #maharashtra https://t.co/Iz5FbI3nW2,6,1/5/2023,14:00:25+00:00
316,AgraMirror,2023-01-05 14:00:08+00:00,0,Twitter for Android,मुंबई : रिलायंस इंडस्ट्रीज के चेयरमैन मुकेश अंबानी ने आज सीएम योगी आदित्यनाथ से मुलाकात की.सीएम योगी ने उन्हें यूपी ग्लोबल इन्वेस्टर्स समिट 2023 में आने का न्योता दिया !! #News #AgraMirror @myogiadityanath #Meeting #RelianceIndustries #MukeshAmbani #Mumbai #maharashtra https://t.co/7BuwTkIBkU,681,1/5/2023,14:00:08+00:00
317,AshishMisraRBL,2023-01-05 13:49:07+00:00,41,Twitter for Android,"CM योगी ने की मुकेश अंबानी से मुलाकात, कहा- UP में निवेश कीजिए...सुरक्षा की गारंटी लेगी सरकार 

#YogiAdityanath #MukeshAmbani #Reliance #UttarPradesh https://t.co/Mh36txKOtC",2685,1/5/2023,13:49:07+00:00
